"bellus, -a, -um adj",beautiful-1,
"bel(l)uinus, -a, -um adj",bestial-1,
"belua, -ae n (f)",whale-1,
bene adv,quite-2: well-13,
"benedico, benedicere, benedixi, benedictum vb tr",to bless-13,
"benedictio, -onis n (f)",blessing-7,
"benefactrix, -icis n (f)",benefactor-1,
"beneficium, -ii n (n)",benefit-6,
"benevolus, -a, -um adj",benevolent-1,
benigne adv,kindly-1,
"benignitas, -atis n (f)",kindness-1,
"beo, beare, beavi, beatum vb tr",to bless-1,
"bestia, -ae n (f)",beast-8,
"bidens, -entis n (f)",animal (for sacrifice)-1,
"bibo, bibere, bibi, bibitum vb tr",to drink-15,
"bini, -ae, -a adj",two at time-2,
bis adv,twice-3,
"blandimentum, -i n (n)",flattery-1,
"blandior, blandiri, blanditus vb tr",to flatter-3,
"blanditia, -ae n (f)",flattery-1,
"blandus, -a, -um adj",charming-2,
"blasphemia, -ae n (f)",blasphemy-2,
"bona, -orum n (n)",goods-5,
"bonitas, -atis n (f)",goodness-1,
"bonus, -a, -um adj",good-36,
"bos, bovis n (m/f)",ox-2,
"brac(c)hium, -ii n (n)",arm-3,
brevi adv,shortly-1,
"brevis, -e adj",brief-3,
"brevissimus, -a, -um adj superl",very brief-2,
breviter adv,briefly-6,
"brutus, -a, -um adj",brute-1,
8,,
"bullio, bullire, bullivi, bullitum vb intr",to bubble-1,
,,
"cacumen, -inis n (n)",peak-2,
"cadaver, -eris n (n)",corpse-2,
"cado, cadere, cecidi, casum vb intr",to fall-2,
"caecus, -a, -um adj",blind-9,
"c(a)edes, -is n (f)",slaughter-3,
"caedo, caedere, cecidi, caesum vb tr",to cut-1,
"c(a)elestis, -e adj",heavenly-10,
"c(a)elum, -i (coelum) n (n/m)",heaven-33: sky-5: weather-1,
"caerimonia, -ae (caeremonia) n (f)",ceremony-4,
"c(a)estus, -us n (m)",boxing gloves-2,
"calcar, -aris n (n)",spur-2,
"calco, calcare, calcavi, calcatum vb tr",to tread upon-1,
"calidus, -a, -um adj",hot-1,
"caligo, -inis n (f)",fog-1,
"calix, calicis n (m)",chalice-5,
"calliditas, -atis n (f)",cleverness-1,
"calor, -oris n (m)",heat-3,
"calum(p)nia, -ae n (f)",charge-1: slander-1,
"calx, calcis n (f)",heel-1,
"camelus, -i n (m/f)",camel-2,
"camera, -ae n (f)",room-2,
"campestria, -ium n (n)",fields-1,
"campipars, -artis n (f)",champart-1,
